folio;depto;area;s09a_01;s09a_02;s09a_03;s09a_04;s09a_05;s09a_06;s09a_07;s09a_08;s09a_09;s09b_10;s09b_11;s09b_12;s09b_13;s09b_14;s09b_15;s09b_16;upm;estrato;factor
759;8;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;814-00756167925-A;14;316
1811;8;1;1;2;2;1;2;2;2;1;2; ; ; ; ; ; ; ;813-00756381697-A;13;243
5301;6;1;1;2;1;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02972668226-A;14;191
5734;6;1;1;2;1;1;2;2;2;2;2; ; ; ; ; ; ; ;614-02972668226-A;14;191
6131;5;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;514-00377379138-A;14;411
6307;4;1;2;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ;414-00478817485-A;14;367
10074;8;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;814-00755463913-A;14;316
10238;3;1;2;2;2;1;1;1;2;2;2; ; ; ; ; ; ; ;313-05282785584-A;13;214
11148;2;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;262-06070933654-A;12;167
11748;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;314-05244169531-A;14;207
12317;6;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;613-02981242959-A;13;175
13189;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;152-03576155699-D;22;388
14919;3;2;1;1;2;1;2;1;2;2;2; ; ; ; ; ; ; ;351-04919988963-D;21;491
15572;2;1;1;2;2;1;2;2;2;2;2; ; ; ; ; ; ; ;263-06046071424-A;13;241
18119;4;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;451-04622182461-D;21;256
18155;7;2;1;2;1;1;1;1;1;1;2; ; ; ; ; ; ; ;754-04933371664-D;24;417
21041;4;2;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;443-04151672509-A;22;232
27302;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05259281683-A;13;486
28280;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;262-06015884279-A;12;198
29946;7;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05237380574-A;14;441
29949;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05237380574-A;14;441
29970;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05259281683-A;13;486
37303;3;2;1;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ;351-05092935736-D;21;491
39546;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;142-03364593493-A;22;388
41032;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;242-07914244679-D;22;686
41174;7;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;711-05255011204-A;11;369
44346;6;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;651-03303771361-D;21;134
666;8;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;814-00755463913-A;14;316
881;5;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;512-00377418851-A;12;350
884;5;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;512-00377418851-A;12;350
888;8;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;814-00755463913-A;14;316
893;8;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;814-00755463913-A;14;316
986;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;512-00377418851-A;12;350
993;5;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;512-00377418851-A;12;350
1348;8;1;1;2;1;2;2;2;2;2;2; ; ; ; ; ; ; ;814-00756167925-A;14;316
1429;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;512-00377418851-A;12;350
1435;5;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;513-00378440236-A;13;402
1436;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;513-00378440236-A;13;402
1437;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;513-00378440236-A;13;402
1508;5;1;1;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;512-00377418851-A;12;350
1515;5;1;1;2;2;1;2;2;2;2;1;1;1;2;2;2;2;2;512-00377418851-A;12;350
1527;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;512-00377418851-A;12;350
1557;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;514-00377379138-A;14;411
1558;5;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;514-00377379138-A;14;411
1560;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;514-00377379138-A;14;411
1794;8;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;814-00755463913-A;14;316
1802;8;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;814-00755463913-A;14;316
1851;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;512-00377418851-A;12;350
1856;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;513-00378440236-A;13;402
3280;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05269040303-A;13;486
3281;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05269040303-A;13;486
3305;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05269040303-A;13;486
3358;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05269040303-A;13;486
3359;1;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;112-04190828218-A;12;210
3360;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04190828218-A;12;210
3364;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;113-00418695355-A;13;205
3365;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-00418695355-A;13;205
3368;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04190828218-A;12;210
3369;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;112-04190828218-A;12;210
3418;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05269040303-A;13;486
3464;7;1;1;2;1;1;2;1;2;2;2; ; ; ; ; ; ; ;711-05281125414-A;11;369
3466;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-00418695355-A;13;205
3553;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05233006500-A;13;486
3555;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05203009183-A;13;486
3556;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05203009183-A;13;486
3561;7;1;1;2;1;1;1;1;1;2;1;2;1;2;1;2;2;2;712-05201796441-A;12;398
3565;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05232098520-A;14;481
3571;7;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;714-05232098520-A;14;481
3577;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;112-04152467277-A;12;210
3580;7;1;1;2;2;1;1;1;2;2;2; ; ; ; ; ; ; ;713-05197451593-A;13;486
3581;7;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;713-05197451593-A;13;486
3582;7;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05197451593-A;13;486
3583;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05197451593-A;13;486
3590;7;1;1;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;711-05281125414-A;11;369
3594;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05197451593-A;13;486
3599;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05269040303-A;13;486
3603;7;1;1;2;2;2;2;1;1;1;2; ; ; ; ; ; ; ;714-05232098520-A;14;481
3606;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05233006500-A;13;486
3607;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05233006500-A;13;486
3678;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05203009183-A;13;486
3681;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05203009183-A;13;486
3686;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05237587564-A;13;449
3688;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05269040303-A;13;486
3729;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05203009183-A;13;486
3922;7;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05235060491-A;13;449
3950;7;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;713-05214295299-A;13;584
3957;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;114-04181160807-A;14;467
3958;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;114-04181160807-A;14;467
3959;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;114-04181160807-A;14;467
3960;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;114-04181160807-A;14;467
3961;1;1;1;1;2;1;2;2;1;1;2; ; ; ; ; ; ; ;113-04176930844-A;13;205
3962;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;113-04176930844-A;13;205
3963;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;113-04176930844-A;13;205
3964;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;113-04176930844-A;13;205
3970;7;1;1;1;1;1;1;1;2;1;2; ; ; ; ; ; ; ;713-05197451593-A;13;486
3972;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05232098520-A;14;481
3973;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05232098520-A;14;481
3974;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05232098520-A;14;481
3975;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05232098520-A;14;481
3979;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;112-04152467277-A;12;210
3992;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05259664509-A;14;481
3998;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05259664509-A;14;481
4027;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4028;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4029;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05230398099-A;14;441
4030;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4075;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4076;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4077;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05230398099-A;14;441
4078;7;1;2;2;2;2;2;2;1;1;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4081;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05235060491-A;13;449
4084;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4085;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05230398099-A;14;441
4086;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4087;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05230398099-A;14;441
4092;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;114-04181160807-A;14;467
4093;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;114-04181160807-A;14;467
4095;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;114-04181160807-A;14;467
4096;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-04176930844-A;13;205
4097;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;113-04176930844-A;13;205
4098;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;113-04176930844-A;13;205
4099;1;1;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;113-04176930844-A;13;205
4104;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05233006500-A;13;486
4105;7;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;713-05233006500-A;13;486
4132;1;1;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;112-04152467277-A;12;210
4136;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-00418695355-A;13;205
4175;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02976446272-A;14;191
4179;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;613-02980626783-A;13;175
4184;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05228899876-A;14;441
4190;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05233006500-A;13;486
4192;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05214295299-A;13;584
4202;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05233006500-A;13;486
4203;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05228899876-A;14;441
4207;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05228899876-A;14;441
4211;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05259664509-A;14;481
4218;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;112-04152467277-A;12;210
4219;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04152467277-A;12;210
4220;1;1;1;2;2;1;2;1;2;2;1;1;1;2;1;1;2;2;112-04152467277-A;12;210
4221;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04152467277-A;12;210
4228;7;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;713-05233006500-A;13;486
4270;7;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;714-05228899876-A;14;441
4275;7;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;2;2;714-05228899876-A;14;441
4356;9;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;911-01210418242-A;11;86
4359;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05203009183-A;13;486
4361;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-00418882733-A;12;210
4365;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05235060491-A;13;449
4487;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05203009183-A;13;486
4488;7;1;1;1;2;1;2;1;1;2;1;2;2;1;2;1;1;1;713-05203009183-A;13;486
4492;7;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;712-05201796441-A;12;398
4493;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;712-05201796441-A;12;398
4506;7;1;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;712-05201796441-A;12;398
4511;5;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;513-00376775611-A;13;402
4518;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;114-04181160807-A;14;467
4519;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;114-04181160807-A;14;467
4520;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;114-04181160807-A;14;467
4521;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;114-04181160807-A;14;467
4524;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-04176930844-A;13;205
4525;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-04176930844-A;13;205
4526;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;113-04176930844-A;13;205
4527;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-04176930844-A;13;205
4528;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;113-00418695355-A;13;205
4535;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;112-00418882733-A;12;210
4540;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05235060491-A;13;449
4543;6;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;614-02980979807-A;14;191
4581;6;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;614-02976446272-A;14;191
4582;6;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;614-02976446272-A;14;191
4583;6;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ; ; ;614-02976446272-A;14;191
4584;6;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;614-02976446272-A;14;191
4589;1;1;1;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;112-04190828218-A;12;210
4596;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;1;1;2;112-04190828218-A;12;210
4598;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05232098520-A;14;481
4607;9;1;1;1;1;1;2;1;1;2;1;1;1;2;1;1;2;2;911-01210418242-A;11;86
4613;9;1;2;2;2;1;2;1;2;2;1;2;2;2;1;1;2;1;911-01210418242-A;11;86
4621;9;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;911-01210418242-A;11;86
4622;9;1;2;2;2;2;1;2;1;2;2; ; ; ; ; ; ; ;911-01210418242-A;11;86
4623;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05228899876-A;14;441
4628;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05228899876-A;14;441
4637;9;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;912-12106512057-A;12;68
4644;9;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;2;912-12106512057-A;12;68
4734;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;711-05281125414-A;11;369
4738;6;1;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;614-02980979807-A;14;191
4739;6;1;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;614-02980979807-A;14;191
4744;4;1;1;2;1;1;1;1;2;2;2; ; ; ; ; ; ; ;413-00478751082-A;13;216
4745;4;1;1;2;1;1;1;1;2;2;2; ; ; ; ; ; ; ;413-00478751082-A;13;216
4746;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;413-00478751082-A;13;216
4747;4;1;1;2;1;2;2;2;2;2;1;2;2;1;1;2;2;2;413-00478751082-A;13;216
4757;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05269040303-A;13;486
4821;5;1;1;1;1;1;1;1;1;2;2; ; ; ; ; ; ; ;513-00376775611-A;13;402
4823;5;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;513-00376775611-A;13;402
4831;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;112-04190828218-A;12;210
4834;6;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;613-02980626783-A;13;175
4838;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05269040303-A;13;486
4843;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05235060491-A;13;449
4849;9;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;913-01213453172-A;13;107
4852;9;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;913-01213453172-A;13;107
4857;9;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;913-01213453172-A;13;107
4858;9;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;913-01213453172-A;13;107
4868;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02976446272-A;14;191
4872;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05235060491-A;13;449
4878;6;1;1;1;1;1;1;1;1;2;2; ; ; ; ; ; ; ;613-02984726619-A;13;175
4879;6;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;613-02984726619-A;13;175
4880;6;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;613-02984726619-A;13;175
4881;6;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;613-02984726619-A;13;175
4888;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04190828218-A;12;210
4896;6;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;614-02976446272-A;14;191
4973;7;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05259664509-A;14;481
4978;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;711-05281125414-A;11;369
4986;7;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;711-05281125414-A;11;369
4994;7;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;711-05281125414-A;11;369
5001;9;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;913-01213453172-A;13;107
5006;9;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;913-01213453172-A;13;107
5014;9;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;913-01213453172-A;13;107
5021;9;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;911-01210418242-A;11;86
5026;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;614-02976446272-A;14;191
5240;6;1;1;2;2;1;2;1;2;2;1;1;1;2;2;1;2;2;614-02980979807-A;14;191
5245;4;1;1;2;2;1;2;2;2;2;2; ; ; ; ; ; ; ;413-00475283915-A;13;216
5246;4;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;413-00475283915-A;13;216
5261;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02976446272-A;14;191
5264;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02973657216-A;14;209
5267;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;413-00475283915-A;13;216
5276;6;1;2;2;2;2;1;2;1;1;1;2;1;1;1;2;1;1;614-02972668226-A;14;191
5281;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02972668226-A;14;191
5288;6;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;613-02984726619-A;13;175
5289;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;613-02984726619-A;13;175
5290;6;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;613-02984726619-A;13;175
5291;6;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ;613-02984726619-A;13;175
5293;7;1;1;1;1;1;1;2;1;1;2; ; ; ; ; ; ; ;713-05197451593-A;13;486
5294;7;1;1;2;2;2;1;2;1;1;2; ; ; ; ; ; ; ;713-05197451593-A;13;486
5296;7;1;2;2;2;2;1;2;2;2;2; ; ; ; ; ; ; ;714-05228899876-A;14;441
5298;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05214295299-A;13;584
5308;6;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;614-02972668226-A;14;191
5314;4;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;413-00476974299-A;13;216
5315;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;413-00476974299-A;13;216
5322;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04152467277-A;12;210
5329;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04152467277-A;12;210
5334;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;112-04152467277-A;12;210
5339;4;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;413-00475283915-A;13;216
5346;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;412-00476407380-A;12;178
5353;4;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;412-00476407380-A;12;178
5355;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;413-00478751082-A;13;216
5362;4;1;2;2;2;2;1;2;2;2;2; ; ; ; ; ; ; ;413-00478751082-A;13;216
5365;4;1;1;2;2;1;2;2;2;2;2; ; ; ; ; ; ; ;413-00478751082-A;13;216
5399;6;1;2;2;2;2;2;2;2;1;2; ; ; ; ; ; ; ;614-02980979807-A;14;191
5401;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05233006500-A;13;486
5406;7;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;711-05281125414-A;11;369
5410;7;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;712-05201796441-A;12;398
5414;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05203009183-A;13;486
5419;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;614-02976446272-A;14;191
5428;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05233006500-A;13;486
5436;5;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;513-00376775611-A;13;402
5447;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;413-00478751082-A;13;216
5452;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05232098520-A;14;481
5454;7;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;711-05169515509-A;11;369
5455;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;711-05169515509-A;11;369
5456;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;711-05169515509-A;11;369
5457;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;711-05169515509-A;11;369
5462;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05214295299-A;13;584
5473;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05259664509-A;14;481
5476;7;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;711-05281125414-A;11;369
5481;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05233006500-A;13;486
5483;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;614-02972668226-A;14;191
5488;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05228899876-A;14;441
5492;4;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;412-00476407380-A;12;178
5497;4;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;412-00476407380-A;12;178
5506;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05259664509-A;14;481
5508;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05197451593-A;13;486
5509;7;1;1;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;713-05197451593-A;13;486
